Item ID	English	Swedish	French	Italian	German	Spanish	Russian	Romanian	Bulgarian	Macedonian	Finnish	Danish	Norwegian	Icelandic	Turkish	Lithuanian	Czech	Hungarian	Slovak	Polish	Dutch	Portuguese_European	Portuguese_Brazilian	Chinese	Japanese	Korean	Hindi	Thai	Abenaki	Croatian	Georgian	Greek	Serbian	Ukrainian
BlackMetalGreatSwordHTD_Name	Black Metal Greatsword		Espadon en sombracier		Schwarzmetall-Großschwert	Gran espada de Metal Oscuro	Длинный меч из черного металла								Karametal Büyük Kılıç						Zwart Metaal Langzwaard		Espada de Metal Negro	黑金属大剑	Black Metal Greatsword	흑철 대검								
BlackMetalGreatSwordHTD_Desc	A simple, yet crude great sword that shines with a beautiful emerald gleam.		Espadon simple et relativement grossierère, sa lame brille d'un vert émeraude lui donnant un bel éclat.		Ein einfaches und doch grobes Großschwert, dessen Klinge grün glänzt und ihm einen schönen Glanz verleiht.	Un espadón algo tosco pero simple, la hoja brilla con un tenue verde dándole un hermoso brillo.	Большой и грубый меч с небольшим зеленым сиянием, которое придает ему прекрасные отблески.								Basit ama yine de kaba bir büyük kılıç, yeşil parlıyor ve ona güzel bir parıltı veriyor.								Uma espada larga e simples, mas rude, sua lâmina brilha em verde, dando-lhe um belo brilho.	简单粗暴的大剑，闪烁着绿色的光芒，散发着美丽的光芒。	A simple, yet crude great sword that shines with a beautiful emerald gleam.	조잡하지만 단순한 대검으로 녹색으로 빛나고있습니다.								
BlackMetalBattleaxeHTD_Name	Black Metal Battleaxe		Hache de combat en sombracier		Streitaxt aus schwarzem Metall	Hacha de guerra de Metal Oscuro	Секира из черного металла								Karametal Savaş Baltası						Zwart metaal Strijdbijl		Machado de Batalha de Metal Negro	黑金属战斧	Black Metal Battleaxe Ather	흑철 전투도끼								
BlackMetalBattleaxeHTD_Desc	A heavy-headed battleaxe forged from dark metal with an emerald sheen.		Une hache de guerre lourde forgée à partir de sombracier et d'un éclat émeraude.		Eine schwere Streitaxt aus dunklem Metall mit smaragdgrünem Glanz.	Un hacha de batalla pesada forjada en metal oscuro con un brillo verde esmeralda.	Тяжелый боевой топор, выкованный из темного металла и доведённый до изумрудного блеска.								Zümrüt parlaklığına sahip karametalden dövülmüş ağır uçlu bir savaş baltası.								Um machado de batalha de ponta pesada forjado em metal escuro com um brilho esmeralda.	一把重头战斧，由带有祖母绿光泽的深色金属锻造而成。	A heavy-headed battleaxe forged from dark metal with an emerald sheen.	녹색 빛을 띄는 흑철로 만든 튼튼한 전투도끼입니다.								
CoreGreatMaceHTD_Name	Great Core Mace		Grande masse ardente		Großer Kernstreitkolben	Gran mazo del Núcleo	Пламенная булава								Büyük Çekirdekli Gürz						Kern Grootknots		Grande Maça de Núcleo Surtling	大核心钉头锤	Great Core Mace	코어 양손 메이스								
CoreGreatMaceHTD_Desc	An extremely heavy mace forged with dark iron and a burning Surtling core. Capable of smashing and incinerating with equal fury.		Une masse extrêmement lourde conçue à partir de sombracier et d'un noyau de Surtling, brillant toujours de mille feux. Écrasez et brûlez tous ceux qui s'opposent à vous.		Ein extrem schwerer Streitkolben aus dunklem Eisen und einem schillernden Kern, der immer noch hell leuchtet. Zerschmettere und verbrenne diejenigen, die sich dir widersetzen.	Un mazo extremadamente pesado forjado con hierro oscuro y un núcleo de Surtling que aún brilla intensamente. Aplasta y quema a los que se oponen a ti.	Чрезвычайно тяжелая булава, созданная из черного железа и ядра суртлинга. Сокрушайте и сжигайте всех на своем пути.								Koyu renk demirden yapılmış son derece ağır bir gürz ve Surtling özüyle ateşlenen dönen bir çekirdek. Size karşı olanları parçalayın ve yakın.								Uma maça extremamente pesada feito de ferro negro e minério surtling que ainda brilha forte. Esmague e queime aqueles que se opõem a você.	一把由黑铁制成的极其沉重的狼牙棒和一个用苏特林精华点燃的苏林核心。 粉碎和烧毁那些反对你的人。	An extremely heavy mace forged with dark iron and a burning Surtling core. Capable of smashing and incinerating with equal fury.	흑철과 몬스터의 정수로 만들어진 양손 메이스 입니다. 당신에게 반하는 자를 부수고 불태우십시오.								
CoreGreatMaceGreenHTD_Name	Tarnished Great Core Mace		Grande masse ardente verte		Grüner Großkernstreitkolben	Gran mazo del Núcleo Verde	Зеленая пламенная булава								Yeşil Büyük Çekirdekli Gürz						Groene Kern Grootknots		Grande Maça de Núcleo Surtling Esverdeado	绿色大核狼牙棒	Tarnished Great Core Mace	그린 코어 양손 메이스								
CoreGreatMaceGreenHTD_Desc	An extremely heavy mace made with dark iron and a burning Surtling core. The forging process must have somehow corrupted the core, resulting in an eerie green tinge, but no other special properties.		Une masse extrêmement lourde conçue à partir de sombracier et d'un noyau de Surtling, brillant d'un vert étrange. Écrasez et brûlez tous ceux qui s'opposent à vous.		Ein extrem schwerer Streitkolben aus dunklem Eisen und einem gruseligen Kern, der in einem unheimlichen Grün leuchtet. Zerschmettere und verbrenne diejenigen, die sich dir widersetzen.	Un mazo extremadamente pesado forjado con hierro oscuro y un núcleo de Surtling que brilla con un verde espeluznante. Aplasta y quema a los que se oponen a ti.	Чрезвычайно тяжелая булава, созданная из черного железа и ядра суртлинга. Сокрушайте и сжигайте всех на своем пути. Имеет зеленое свечение.								Koyu renk demirden yapılmış son derece ağır bir gürz ve Surtling özüyle ateşlenen dönen bir çekirdek. Size karşı olanları parçalayın ve yakın. Yeşile boyanmıştır.								Uma maça extremamente pesada feita de ferro negro e um minério surtling que brilha em um verde assustador. Esmague e queime aqueles que se opõem a você.	一把由黑铁制成的极其沉重的狼牙棒和一个用苏特林精华点燃的苏林核心。 粉碎和烧毁那些反对你的人。 它被染成绿色。	An extremely heavy mace made with dark iron and a burning Surtling core. The forging process must have somehow corrupted the core, resulting in an eerie green tinge, but no other special properties.	일반 코어 양손 메이스보다 더 강력한 메이스입니다. 당신에게 반하는 자를 부수고 불태우십시오.								
CoreGreatMaceBlueHTD_Name	Cold Great Core Mace		Grande masse ardente bleu		Blaue Große Kernkeule	Gran mazo del Núcleo Azul	Синяя пламенная булава								Mavi Büyük Çekirdekli Topuz						Blauwe Kern Grootknots		Grande Maça de Núcleo Surtling Frio 	蓝色大核狼牙棒	Cold Great Core Mace	블루 코어 양손 메이스								
CoreGreatMaceBlueHTD_Desc	An extremely heavy mace made with dark iron and a burning Surtling core. The forging process appears to have cooled the core, turning its flames an icy blue, but with no other special properties.		Une masse extrêmement lourde conçue à partir de sombracier et d'un noyau de Surtling, brillant d'un bleu glacial. Écrasez et brûlez tous ceux qui s'opposent à vous.		Eine extrem schwere Keule aus dunklem Eisen und einem Surtlingkern, der eisblau leuchtet. Zerschmettere und verbrenne diejenigen, die sich dir widersetzen.	Un mazo extremadamente pesado forjado con hierro oscuro y un núcleo de Surtling que brilla con un azul congelante. Aplasta y quema a los que se oponen a ti.	Чрезвычайно тяжелая булава, созданная из черного железа и ядра суртлинга. Сокрушайте и сжигайте всех на своем пути. Имеет синее свечение.								Kara metalden ve buz gibi mavi parlayan dalgalı bir çekirdekten yapılmış son derece ağır bir topuz. Karşınızda olanları ezin ve yakın.								Uma maça extretamente pesada feita de ferro negro e um minerio de surtling que brilha um azul gélido. Esmague e congele aqueles que se opõem a você.	由黑铁制成的极其沉重的狼牙棒，其核心是发出冰蓝色的光芒。 粉碎和烧毁那些反对你的人。	An extremely heavy mace made with dark iron and a burning Surtling core. The forging process appears to have cooled the core, turning its flames an icy blue, though with no other special properties.	일반 코어 양손 메이스보다 더 강력한 메이스입니다. 당신에게 반하는 자를 부수고 불태우십시오.								
CoreMaceHTD_Name	Surt Core Mace		Masse ardente				Булава с сердцевиной Пылающего Серта								Çekirdekli Topuz								Maça de Núcleo Surtling		Surt Core Mace									
CoreMaceHTD_Desc	A sturdy mace forged with dark iron and a burning Surtling core. Capable of smashing and incinerating with equal fury.		Une masse lourde conçue à partir de sombracier et d'un noyau de Surtling, brillant toujours de mille feux. Écrasez et brûlez ceux qui s'opposent à vous.				Прочная булава была забита темным железом и пылающим ядром. Можно разбить и навредить равной ярости.								Kara metalden yapılmış ağır bir topuz ve hala parlak parıldayan dalgalı bir çekirdeğe sahip. Size karşı olanları ezin ve yakın.								Uma maça robusta forjada com ferro negro e um núcleo de Surtling em chamas. Capaz de esmagar e incinerar com igual fúria.		A sturdy mace forged with dark iron and a burning Surtling core. Capable of smashing and incinerating with equal fury.									
CoreMaceGreenHTD_Name	Tarnished Surt Core Mace		Masse ardente verte				Потускневшая булава сурта								Yeşil Çekirdekli Topuz								Maça de Núcleo Surtling Esverdeado		Tarnished Surt Core Mace									
CoreMaceGreenHTD_Desc	A sturdy mace made with dark iron and a burning Surtling core. The forging process must have somehow corrupted the core, resulting in an eerie green tinge, but no other special properties.		Une masse lourde conçue à partir de sombracier et d'un noyau de Surtling, brillant d'un vert étrange. Écrasez et brûlez tous ceux qui s'opposent à vous.				Крепкая булава, сделанная из темного железа и горящего ядра Сертлинга. Процесс ковки, должно быть, каким-то образом испортил ядро, что привело к жуткому зеленоватому оттенку, но никаких других особых свойств.								Kara metalden yapılmış ağır bir topuz ve ürkütücü bir yeşillikle parlayan dalgalı bir çekirdeğe sahip. Size karşı olanları ezin ve yakın.								Uma maça robusta feita com ferro negro e um núcleo de Surtling em chamas. O processo de forjamento deve ter corrompido o núcleo de alguma forma, resultando em uma estranha coloração verde, mas sem outras propriedades especiais.		A sturdy mace made with dark iron and a burning Surtling core. The forging process must have somehow corrupted the core, resulting in an eerie green tinge, but no other special properties.									
CoreMaceBlueHTD_Name	Cold Surt Core Mace		Masse ardente bleu				Булава с сердцевиной Холодного Серта								Mavi Çekirdekli Topuz								Maça de Núcleo Surtling Frio		Cold Surt Core Mace									
CoreMaceBlueHTD_Desc	A sturdy mace made with dark iron and a burning Surtling core. The forging process appears to have cooled the core, turning its flames an icy blue, but with no other special properties.		Une masse lourde conçue à partir de sombracier et d'un noyau de Surtling, brillant d'un bleu glacial. Écrasez et brûlez tous ceux qui s'opposent à vous.				Крепкая булава, сделанная из темного железа и горящего ядра Сертлинга. Процесс ковки, по-видимому, охладил ядро, сделав его пламя ледяно-голубым, но без каких-либо других особых свойств.								Kara metalden yapılmış ağır bir topuz ve ürkütücü bir mavilikle parlayan dalgalı bir çekirdeğe sahip. Size karşı olanları ezin ve yakın.								Uma maça robusta feita com ferro negro e um núcleo de Surtling em chamas. O processo de forjamento parece ter esfriado o núcleo, transformando suas chamas em um azul gelado, mas sem outras propriedades especiais.		A sturdy mace made with dark iron and a burning Surtling core. The forging process appears to have cooled the core, turning its flames an icy blue, though with no other special properties.									
CoreGreatAxeHTD_Name	Great Core Battle Axe		Grande hache ardente				Большой боевой топор ядра								Büyük Çekirdekli Topuz								Grande Machado de Batalha de Núcleo Surtling		Great Core Battleaxe									
CoreGreatAxeHTD_Desc	An extremely heavy battleaxe forged with dark iron and a burning Surtling core. It slices and sizzles with a tempestuous heat.		Une hache extrêmement lourde conçue à partir de sombracier et d'un noyau de Surtling, brillant toujours de mille feux. Écrasez et brûlez tous ceux qui s'opposent à vous.				Чрезвычайно тяжелый боевой топор, выкованный из темного железа и горящего ядра Сертлинга. Он режется и шипит от бурного жара.								Kara metalden demirden yapılmış, son derece ağır bir balta ve hala parlak parıldayan, dalgalanan bir çekirdeğe sahip. Size karşı olanları doğrayın ve yakın.								Um machado de batalha extremamente pesado forjado com ferro enegro e um núcleo de Surtling em chamas. Ele corta e chia com um calor tempestuoso.		An extremely heavy battleaxe forged with dark iron and a burning Surtling core. It slices and sizzles with a tempestuous heat.									
CoreGreatAxeGreenHTD_Name	Tarnished Great Core Battle Axe		Grande hache ardente verte				Потускневший боевой топор большого ядра								Yeşil Büyük Çekirdekli Topuz								Grande Machado de Batalha de Núcleo Surtling Esverdeado		Tarnished Great Core Battleaxe									
CoreGreatAxeGreenHTD_Desc	An extremely heavy battleaxe forged with dark iron and a burning Surtling core. The forging process must have somehow corrupted the core, resulting in an eerie green tinge, but no other special properties.		Une hache extrêmement lourde conçue à partir de sombracier et d'un noyau de Surtling, brillant d'un vert étrange. Écrasez et brûlez tous ceux qui s'opposent à vous.				Чрезвычайно тяжелый боевой топор, выкованный из темного железа и горящего ядра Сертлинга. Процесс ковки, должно быть, каким-то образом испортил ядро, что привело к жуткому зеленоватому оттенку, но никаких других особых свойств.								Kara metalden yapılmış, son derece ağır bir balta ve ürkütücü bir yeşillikle parlayan dalgalı bir çekirdeğe sahip. Size karşı olanları ezin ve yakın.								Um machado de batalha extremamente pesado forjado com ferro negro e um núcleo de Surtling em chamas. O processo de forjamento deve ter corrompido o núcleo de alguma forma, resultando em uma estranha coloração verde, mas sem outras propriedades especiais.		An extremely heavy battleaxe forged with dark iron and a burning Surtling core. The forging process must have somehow corrupted the core, resulting in an eerie green tinge, but no other special properties.									
CoreGreatAxeBlueHTD_Name	Cold Great Core Battle Axe		Grande hache ardente bleu				Боевой топор холодного ядра								Mavi Büyük Çekirdekli Topuz								Grande Machado de Batalha de Núcleo Surtling Frio		Cold Great Core Battleaxe									
CoreGreatAxeBlueHTD_Desc	An extremely heavy battleaxe forged with dark iron and a burning Surtling core. The forging process appears to have cooled the core, turning its flames an icy blue, but with no other special properties.		Une hache extrêmement lourde conçue à partir de sombracier et d'un noyau de Surtling, brillant d'un bleu glacial. Écrasez et brûlez tous ceux qui s'opposent à vous.				Чрезвычайно тяжелый боевой топор, выкованный из темного железа и горящего ядра Сертлинга. Процесс ковки, по-видимому, охладил ядро, сделав его пламя ледяно-голубым, но без каких-либо других особых свойств.								Kara metalden yapılmış, son derece ağır bir balta ve ürkütücü bir mavilikte parlayan dalgalı bir çekirdeğe sahip. Size karşı olanları ezin ve yakın.								Um machado de batalha extremamente pesado forjado com ferro negro e um núcleo de Surtling em chamas. O processo de forjamento parece ter esfriado o núcleo, transformando suas chamas em um azul gelado, mas sem outras propriedades especiais.		An extremely heavy battleaxe forged with dark iron and a burning Surtling core. The forging process appears to have cooled the core, turning its flames an icy blue, though with no other special properties.									
CoreAxeHTD_Name	Surt Core Axe		Hache ardente				Сердечный топор Сурта								Çekirdekli Balta								Machado de Batalha de Núcleo Surtling		Surt Core Axe									
CoreAxeHTD_Desc	A sturdy axe forged with dark iron and a burning Surtling core. It slices and sizzles with a tempestuous heat.		Une hache lourde conçue à partir de sombracier et d'un noyau de Surtling, brillant toujours de mille feux. Écrasez et brûlez ceux qui s'opposent à vous.				Крепкий топор, выкованный из темного железа и горящего ядра Сертлинга. Он режется и шипит от бурного жара.								Kara metalden yapılmış ağır bir balta ve hala parıldayan dalgalı bir çekirdeğe sahip. Size karşı olanları doğrayın ve yakın.								Um machado robusto forjado com ferro negro e um núcleo de Surtling em chamas. Ele corta e chia com um calor tempestuoso.		A sturdy axe forged with dark iron and a burning Surtling core. It slices and sizzles with a tempestuous heat.									
CoreAxeGreenHTD_Name	Tarnished Surt Core Axe		Hache ardente verte				Потускневший топор сурта								Yeşil Çekirdekli Topuz								Machado de Batalha de Núcleo Surtling Esverdeado		Tarnished Surt Core Axe									
CoreAxeGreenHTD_Desc	A sturdy axe forged with dark iron and a burning Surtling core. The forging process must have somehow corrupted the core, resulting in an eerie green tinge, but no other special properties.		Une hache lourde conçue à partir de sombracier et d'un noyau de Surtling, brillant d'un vert étrange. Écrasez et brûlez tous ceux qui s'opposent à vous.				Крепкий топор, выкованный из темного железа и горящего ядра Сертлинга. Процесс ковки, должно быть, каким-то образом испортил ядро, что привело к жуткому зеленоватому оттенку, но никаких других особых свойств.								Kara metalden yapılmış ağır bir balta ve ürkütücü bir yeşillikte parlayan dalgalı bir çekirdeğe sahip. Size karşı olanları doğrayın ve yakın.								Um machado robusto forjado com ferro negro e um núcleo de Surtling em chamas. O processo de forjamento deve ter corrompido o núcleo de alguma forma, resultando em uma estranha coloração verde, mas sem outras propriedades especiais.		A sturdy axe forged with dark iron and a burning Surtling core. The forging process must have somehow corrupted the core, resulting in an eerie green tinge, but no other special properties.									
CoreAxeBlueHTD_Name	Cold Surt Core Axe		Hache ardente bleu				Топор ядра холодного серта								Mavi Çekirdekli Topuz								Machado de Batalha de Núcleo Surtling Frio		Cold Surt Core Axe									
CoreAxeBlueHTD_Desc	A sturdy axe forged with dark iron and a burning Surtling core. The forging process appears to have cooled the core, turning its flames an icy blue, but with no other special properties.		Une hache lourde conçue à partir de sombracier et d'un noyau de Surtling, brillant d'un bleu glacial. Écrasez et brûlez tous ceux qui s'opposent à vous.				Крепкий топор, выкованный из темного железа и горящего ядра Сертлинга. Процесс ковки, по-видимому, охладил ядро, сделав его пламя ледяно-голубым, но без каких-либо других особых свойств.								Kara metalden yapılmış ağır bir balta ve ürkütücü bir mavilikle parlayan dalgalı bir çekirdeğe sahip. Size karşı olanları doğrayın ve yakın.								Um machado robusto forjado com ferro negro e um núcleo de Surtling em chamas. O processo de forjamento parece ter esfriado o núcleo, transformando suas chamas em um azul gelado, mas sem outras propriedades especiais.		A sturdy axe forged with dark iron and a burning Surtling core. The forging process appears to have cooled the core, turning its flames an icy blue, though with no other special properties.									
BoneGreatMaceHTD_Name	Death Grip		Emprise de l'immortel		Griff des Unsterblichen	Agarre del Inmortal	Хватка бессмертного								Ölümsüz Kavrama						Grip van Onsterfelijkheid		Alcance dos Imortais	不死之握	Death Grip	불사의 손아귀								
BoneGreatMaceHTD_Desc	Forged from the remains of a troll cursed with undeath, the severed arm clings tightly to its still-beating heart. The blood it pumps is fetid and rotten, rendering it highly toxic to the touch.		Le cœur d'un troll maudit par les morts-vivants, tenu par son bras tranché. Son coeur est alimenté par du sang toxique, le conservant dans un état de non-mort.		Das Herz eines vom Untod verfluchten Trolls, dessen abgetrennter Arm das immer noch schlagende Herz umfasst, das giftiges Blut pumpt, für immer in einem Zustand des Unsterblichen gefangen.	El corazón de un troll maldecido con la no-muerte. Su brazo cercenado sostiene fuertemente el corazón que aún bombea sangre tóxica, atrapado eternamente en un estado inmortal.	Сердце тролля, проклятое на бессмертие, её отрубленная рука будет вечно сжимать все еще бьющееся сердце, которое до сих пор качает ядовитую кровь.								Ölümle lanetlenmiş bir trolün kalbi, kopmuş kolu zehirli kan pompalayan ve sonsuza dek ölümsüz bir durumda kapana kısılmış, hala atan kalbi kavradı.								O coração de um troll amaldiçoado com mortos-vivos, seu braço decepado agarrando o coração ainda batendo que bombeia sangue tóxico, para sempre preso em um estado de imortalidade.	巨魔的心脏被亡灵诅咒，它被切断的手臂抓住了仍在跳动的心脏，泵出有毒血液，永远被困在不死的状态中。	Forged from the remains of a troll cursed with undeath, the severed arm clings tightly to its still-beating heart. The blood it pumps is fetid and rotten, rendering it highly toxic to the touch.	언데드의 저주를 받은 트롤의 심장, 잘려진 팔이 유독 피를 뿜어내고 여전히 고동치는 심장을 움켜쥐고 영원히 불사 상태에 갇힙니다.								
ObsidianGreatSwordHTD_Name	Moder's Sorrow		Le chagrin de Moder		Mutters Kummer	Lamento de Moder	Скорбь Матери								Moder'in Kederi						Moder's Leed		Tristeza de Moder	现代人的悲哀	Moder's Sorrow	모더의 슬픔								
